,name,rating,number of review,about
5747,Reserve Bank of India,4.5,112,Banking | 10k-50k Employees | Central | 88 years old | Mumbai +24 more
5748,John Deere Financial,4.4,112,NBFC | 5k-10k Employees | 186 years old | Johnston +26 more
5749,In2IT Technologies,3.7,112,IT Services & Consulting | 201-500 Employees | 33 years old | Irving +8 more
5750,Affine,3.4,112,IT Services & Consulting | 201-500 Employees | 12 years old | Bangalore +1 more
5751,Dr D Y Patil Medical College,3.9,112,Healthcare | 1k-5k Employees | 27 years old | Pune +6 more
5752,Axalta Coating Systems,4.3,112,Chemicals | 51-200 Employees | 10 years old | Philadelphia +16 more
5753,Damodar Valley Corporation,4.0,112,Power | 5k-10k Employees | 75 years old | Kolkata +13 more
5754,National Mineral Development Corporation,4.4,112,Metals & Mining | 5k-10k Employees (Global) | Public | 65 years old | Hyderabad/Secunderabad +11 more
5755,Synchronoss Technologies,4.4,112,Telecom | 501-1k Employees | 23 years old | Bridgewater +3 more
5756,CETPA InfoTech,4.2,112,IT Services & Consulting | 501-1k Employees | 21 years old | Noida +5 more
5757,Khaitan Electricals,3.3,112,Food Processing | 201-500 Employees | Public | 42 years old | Kolkata +26 more
5758,Pyrotech Electronics,3.9,112,Electronics Manufacturing | 51-200 Employees | 47 years old | Udaipur +6 more
5759,City Montessori School,3.8,112,Education & Training | 1k-5k Employees | 64 years old | Lucknow +8 more
5760,Windsor Machines,3.6,112,Industrial Machinery | 501-1k Employees | Public | 60 years old | Ahmedabad +15 more
5761,Affine,3.4,112,IT Services & Consulting | 201-500 Employees | 12 years old | Bangalore +1 more
5762,Arch Pharmalabs,3.8,112,Pharma | 201-500 Employees | 24 years old | Mumbai +13 more
5763,Global Cloud Xchange,3.6,112,Telecom | 501-1k Employees | 35 years old | Hamilton +6 more
5764,CBSE,4.2,112,Education & Training | 5k-10k Employees (Global) | Delhi +58 more
5765,Dhandhania Infotech,3.3,112,IT Services & Consulting | 501-1k Employees | 16 years old | Nagpur  +1 more
5766,City Montessori School,3.8,112,Education & Training | 1k-5k Employees | 64 years old | Lucknow +8 more
5767,Windsor Machines,3.6,112,Industrial Machinery | 501-1k Employees | Public | 60 years old | Ahmedabad +15 more
5768,Khaitan Electricals,3.3,112,Food Processing | 201-500 Employees | Public | 42 years old | Kolkata +26 more
5769,Ester Industries,4.0,112,Chemicals / Agri Inputs | 501-1k Employees | Public | 38 years old | Gurgaon +6 more
5770,John Crane Sealing Systems India,3.7,112,Industrial Machinery | 201-500 Employees | 11 years old | Chicago +3 more
5771,Ayesa,4.1,112,IT Services & Consulting | 201-500 Employees | 11 years old | Sevilla +6 more
5772,Air India Engineering Services,3.9,112,Industrial Machinery | 501-1k Employees | Public | 19 years old | Delhi/NCR +9 more
5773,Skets Studio,3.8,112,Architecture & Interior Design | 501-1k Employees | 18 years old | New Delhi +2 more
5774,Indwell,4.0,112,Engineering & Construction | 51-200 Employees (Global) | 46 years old | Vijayawada +16 more
5775,Bullmen Realty,3.1,112,Real Estate | 201-500 Employees | 8 years old | Noida +10 more
5776,Sunbeam School,4.2,112,Education & Training | 10k-50k Employees | 51 years old | Varanasi +17 more
5777,Motilal Oswal Securities,4.1,112,1k-5k Employees (Global) | Mumbai +20 more
5778,Reserve Bank of India,4.5,112,Banking | 10k-50k Employees | Central | 88 years old | Mumbai +24 more
5779,Auto Ignition,3.7,112,Auto Components | 501-1k Employees | 52 years old | Palwal +4 more
5780,Chowgule Industries,3.9,112,Auto Components | 51-200 Employees | 37 years old | Goa +12 more
5781,School of Education,4.2,112,Education & Training | Bengaluru/Bangalore +44 more
5782,SCIO Management Solutions,4.1,112,IT Services & Consulting | 201-500 Employees | 14 years old | Florida +2 more
5783,Pacific India,3.6,112,Real Estate | 1k-5k Employees (Global) | 27 years old | New Delhi +13 more
5784,Montage Enterprises,4.0,112,Packaging | 201-500 Employees | 21 years old | Mumbai +9 more
5785,Mahindra Sanyo Special Steel,3.7,112,Iron & Steel | 1k-5k Employees | 90 years old | Khopoli +5 more
5786,ONKAR DIES,4.1,112,Engineering & Construction | 201-500 Employees | 25 years old | Pune +5 more
5787,Ghv India,4.3,112,Engineering & Construction | 201-500 Employees | 58 years old | Mumbai +21 more
5788,Avvashya Cci Logistics,4.0,112,Logistics | 1k-5k Employees | 8 years old | Mumbai +20 more
5789,Private Practice,4.0,112,Mumbai +52 more
5790,Amity Software Systems,4.1,112,Software Product | 201-500 Employees | Public | 2023 years old | Noida +3 more
5791,DLT Lab Technologies,2.9,112,IT Services & Consulting | 201-500 Employees | 6 years old | Toronto +2 more
5792,Epicor Software Corporation,3.8,112,IT Services & Consulting | 501-1k Employees | 51 years old | Austin +3 more
5793,Unschool Learning,3.3,112,EdTech | 1k-5k Employees | Startup | 4 years old | Hyderabad +6 more
5794,ION Group,3.8,112,5k-10k Employees | Noida +8 more
5795,Ruloans,3.9,112,Financial Services | 51-200 Employees (Global) | Public | 27 years old | Mumbai +25 more
5796,Accenture Federal Services,4.1,112,201-500 Employees | Bengaluru/Bangalore +13 more
5797,Sundaram Home Finance,4.2,112,NBFC | 1k-5k Employees | Public | 24 years old | Chennai +42 more
5798,Radiant Appliances,3.9,112,Electronics Manufacturing | 1k-5k Employees | 4 years old | Hyderabad/Secunderabad +2 more
5799,Savista Global Solutions,3.9,112,Analytics & KPO | 501-1k Employees | 2 years old | Georgia +3 more
5800,InfoVision Labs,3.9,112,IT Services & Consulting | 1k-5k Employees | 9 years old | Pune +3 more
5801,Harita Fehrer,4.0,111,Auto Components | 51-200 Employees | 13 years old | Hosur +5 more
5802,i-Source Infosystems,3.8,111,IT Services & Consulting | 201-500 Employees | 20 years old | Pune +14 more
5803,Anri Solutions HR Services,2.9,111,Recruitment | 11-50 Employees | 20 years old | Delhi +1 more
5804,Matrimonialsindia,5.0,111,Financial Services | 26 years old | New Delhi
5805,Minda Stoneridge Instruments,3.7,111,Auto Components | 1k-5k Employees | 28 years old | New Delhi +3 more
5806,Municipal Corporation of Greater Mumbai,3.9,111,Government | 501-1k Employees | Public | 135 years old | Mumbai +3 more
5807,MTAR Technologies,4.3,111,Defence & Aerospace | 1k-5k Employees | Public | 53 years old | Hyderabad +4 more
5808,Comcast,4.2,111,Engineering & Construction | 1k-5k Employees | Forbes Global 2000 | 2023 years old | Chennai +4 more
5809,Philip Morris International,3.7,111,FMCG | 51-200 Employees | Forbes Global 2000 | 36 years old | New York +22 more
5810,Oaknet Healthcare,3.6,111,Pharma | 201-500 Employees | 8 years old | Mumbai +26 more
5811,Laxmi Remote India,3.7,111,Pharma | 201-500 Employees | 28 years old | Noida +6 more
5812,Saija Finance,4.0,111,NBFC | 501-1k Employees | 16 years old | Patna +22 more
5813,Chiripal Poly Films,4.3,111,Packaging | 501-1k Employees | Public | 11 years old | Ahmedabad +6 more
5814,GENWORKS Health,3.3,111,Healthcare | 201-500 Employees | 8 years old | Bengaluru +20 more
5815,Bosch Power Tools,4.5,111,Industrial Machinery | 201-500 Employees | 64 years old | Leinfelden +20 more
5816,NPCC Engineering,3.4,111,Oil & Gas | 201-500 Employees | 16 years old | Mumbai +9 more
5817,Sankara Nethralaya,4.1,111,Non-Profit | 10k-50k Employees | 45 years old | Chennai +4 more
5818,Jasper Industries,4.2,111,Automobile | 501-1k Employees | 68 years old | Hyderabad +15 more
5819,Vishnu Chemicals,3.7,111,Chemicals / Agri Inputs | 201-500 Employees | Public | 33 years old | Hyderabad/Secunderabad +8 more
5820,Ministry of Rural Development India,4.2,111,Government | 51-200 Employees | Public | 49 years old | New Delhi +52 more
5821,Sankara Nethralaya,4.1,111,Non-Profit | 10k-50k Employees | 45 years old | Chennai +4 more
5822,Anri Solutions HR Services,2.9,111,Recruitment | 11-50 Employees | 20 years old | Delhi +1 more
5823,The Web Plant,4.2,111,51-200 Employees | 12 years old | New Delhi +1 more
5824,QDVC,4.8,111,Engineering & Construction | 51-200 Employees | 16 years old | Doha +4 more
5825,Trident Automobiles,4.4,111,Auto Components | 201-500 Employees | 25 years old | Bangalore/Bengaluru +6 more
5826,S&IB Services,4.0,111,Facility Management Services | 201-500 Employees | 35 years old | Kolkata +16 more
5827,Aczet,3.6,111,Electronics Manufacturing | 51-200 Employees | 37 years old | Dubai +10 more
5828,Lakshmi Life Sciences,3.1,111,Defence & Aerospace | 201-500 Employees | Public | 19 years old | Coimbatore +4 more
5829,OSB India,3.3,111,Financial Services | 201-500 Employees | 19 years old | Bangalore/Bengaluru +3 more
5830,Chiripal Poly Films,4.3,111,Packaging | 501-1k Employees | Public | 11 years old | Ahmedabad +6 more
5831,Maharashtra State Road Transport Corporation,4.1,111,Urban Transport | 1 Lakh+ Employees | 75 years old | Mumbai +27 more
5832,Coherent Market Insights,4.2,111,Management Consulting | 201-500 Employees | 7 years old | Burlingame
5833,MTAR Technologies,4.3,111,Defence & Aerospace | 1k-5k Employees | Public | 53 years old | Hyderabad +4 more
5834,Saija Finance,4.0,111,NBFC | 501-1k Employees | 16 years old | Patna +22 more
5835,Comcast,4.2,111,Engineering & Construction | 1k-5k Employees | Forbes Global 2000 | 2023 years old | Chennai +4 more
5836,Philip Morris International,3.7,111,FMCG | 51-200 Employees | Forbes Global 2000 | 36 years old | New York +22 more
5837,Amar Cars,3.8,111,Automobile | 501-1k Employees | 17 years old | Vadodara +10 more
5838,Zcl Chemicals,3.4,111,Pharma | 51-200 Employees | 32 years old | Mumbai +2 more
5839,Manipal Business Solutions,3.9,111,Gurgaon/Gurugram +36 more
5840,Kohler Power,4.4,111,Power | 51-200 Employees | Pune +10 more
5841,Egniol Services,4.2,111,5 years old | Ahmedabad +3 more
5842,RLabs Enterprise Services,3.7,111,IT Services & Consulting | 1k-5k Employees | Public | 10 years old | Hyderabad/Secunderabad +10 more
5843,PearVisa Immigration Services,4.9,111,Recruitment | 51-200 Employees | Public | 13 years old | New Delhi +5 more
5844,Zypp Electric,3.8,111,Internet | 201-500 Employees | Startup | 6 years old | Gurgaon +4 more
5845,nurture.farm,3.3,111,Agriculture | 201-500 Employees | 3 years old | Bangalore/Bengaluru +30 more
5846,Green Agrevolution,3.9,111,Agriculture | 501-1k Employees | 11 years old | Patna +43 more
5847,Fedora Solutions,3.7,110,IT Services & Consulting | 501-1k Employees | 19 years old | Charlotte +1 more
5848,GKB Opticals,4.3,110,Retail | 51-200 Employees | 55 years old | Kolkata +21 more
5849,Rexel,3.8,110,Industrial Automation | 201-500 Employees | Forbes Global 2000 | 9 years old | Pune +20 more
5850,ATC Tires,3.6,110,Auto Components | 1k-5k Employees | 16 years old | Mumbai +13 more
5851,Banaras Hindu University,4.6,110,Education & Training | 501-1k Employees | 107 years old | Varanasi/Benaras +13 more
5852,Shemaroo Entertainment,3.5,110,Media & Entertainment | 501-1k Employees | Public | 61 years old | Mumbai +6 more
5853,Polaris,4.0,110,Automobile | 201-500 Employees | 12 years old | Medina +11 more
5854,Embio Limited mahad Raigad,3.6,110,Pharma | 51-200 Employees | 37 years old | Mumbai +5 more
5855,Metro Tyres,3.7,110,Auto Components | 201-500 Employees | Public | 55 years old | Delhi/NCR +27 more
5856,Facebook,4.4,110,Internet | 1k-5k Employees | Forbes Global 2000 | 19 years old | Menlo Park +17 more
5857,Punjab & Sind Bank,3.4,110,Banking | 5k-10k Employees | Fortune India 500 | 115 years old | New Delhi +40 more
5858,Kanakia Spaces,3.6,110,Real Estate | 51-200 Employees | 37 years old | Mumbai +2 more
5859,Futurz Staffing Solutions,3.7,110,Recruitment | 51-200 Employees | 18 years old | Mumbai +26 more
5860,Covestro,4.4,110,201-500 Employees | Forbes Global 2000 | 8 years old | Leverkusen +7 more
5861,Frost & Sullivan,3.6,110,Management Consulting | 201-500 Employees | 62 years old | San Antonio +7 more
5862,Netsmartz Infotech,3.3,110,IT Services & Consulting | 501-1k Employees | 24 years old | Pittsford +6 more
5863,Overseas Health Care,2.8,110,Pharma | 501-1k Employees | 29 years old | Jalandhar +27 more
5864,Dosti Realty,4.0,110,Real Estate | 501-1k Employees | Public | 43 years old | Mumbai +4 more
5865,Cethar,3.4,110,Industrial Machinery | 501-1k Employees | 42 years old | Tiruchirapalli  +11 more
5866,JWIL,4.2,110,Facility Management Services | 51-200 Employees | New Delhi +18 more
5867,HMT Machine Tools,3.7,110,Industrial Machinery | 51-200 Employees | Central | 70 years old | Bangalore/Bengaluru +13 more
5868,Gini & Jony,3.3,110,Fashion & Textile | 501-1k Employees | 43 years old | Mumbai +24 more
5869,Kiran Motors,4.0,110,Auto Components | 501-1k Employees (Global) | 37 years old | Ahmedabad +10 more
5870,Huron Consulting Group,4.0,110,IT Services & Consulting | 501-1k Employees | 21 years old | Chicago +5 more
5871,Creative Garments,4.1,110,Fashion & Textile | 501-1k Employees | 49 years old | Mumbai +12 more
5872,Sagitec Solutions,3.9,110,IT Services & Consulting | 51-200 Employees | 19 years old | Saint Paul +2 more
5873,Strategic Learning Solutions,4.3,110,BPO | 201-500 Employees | 27 years old | Gurgaon/Gurugram +21 more
5874,BSR,3.3,110,Management Consulting | 1k-5k Employees (Global) | 31 years old | San Francisco +17 more
5875,River Engineering,3.9,110,Industrial Machinery | 51-200 Employees | 16 years old | Greater Noida +2 more
5876,Lynk,3.1,110,Logistics | 51-200 Employees | 8 years old | Chennai +9 more
5877,G.S.E.C,4.1,110,Logistics | 51-200 Employees | 58 years old | Ahmedabad +11 more
5878,NIMS University,2.8,110,Education & Training | 501-1k Employees | 15 years old | Jaipur +6 more
5879,DS-MAX Properties,4.0,110,Real Estate | 5k-10k Employees | 16 years old | Bangalore/Bengaluru +5 more
5880,Nv Group,3.9,110,Beverage | 501-1k Employees | 29 years old | New Delhi +14 more
5881,BG Distributors,3.7,110,FMCG | 201-500 Employees | 19 years old | Kolkata +19 more
5882,Hcl Foundation,4.1,110,Non-Profit | 11-50 Employees | 47 years old | Noida +7 more
5883,Entertainment Network India,3.4,110,Media & Entertainment | 1k-5k Employees | Public | 24 years old | Mumbai +34 more
5884,Pickrr,3.9,110,Internet | 201-500 Employees | Startup | 8 years old | Faridabad +4 more
5885,Paranjape Schemes Construction,4.0,110,Real Estate | 201-500 Employees | 93 years old | Pune +7 more
5886,Hirschvogel Components,3.9,110,Auto Components | 5k-10k Employees | 85 years old | Denklingen +1 more
5887,Chennais Amirta International Institute of Hotel Management,3.4,110,Education & Training | 501-1k Employees | 13 years old | Chennai +12 more
5888,Cyntexa,4.6,110,IT Services & Consulting | 201-500 Employees | 5 years old | San Francisco +1 more
5889,DBG TECHNOLOGIES PVT,3.8,110,Electronics Manufacturing | 1k-5k Employees | Bawal +6 more
5890,Prism Cement - Prism Johnson,3.9,110,Building Material | 1k-5k Employees | Satna +33 more
5891,NATIONAL SKILL DEVELOPMENT CORPORATION,3.7,110,Non-Profit | 51-200 Employees | 15 years old | New Delhi +32 more
5892,Quale Infotech,4.6,110,IT Services & Consulting | 51-200 Employees | 6 years old | New Delhi +9 more
5893,EagleView,3.3,110,IT Services & Consulting | 201-500 Employees | 15 years old | Bellevue +1 more
5894,MMACH Design,4.9,110,IT Services & Consulting | 51-200 Employees | Pune +10 more
5895,Ujala Cygnus,3.9,110,Healthcare | 501-1k Employees | 4 years old | New Delhi +19 more
5896,Saleswallah,4.8,110,Education & Training | 51-200 Employees | 2 years old | Noida +1 more
5897,Weir Minerals,4.1,110,Metals & Mining | 501-1k Employees | 152 years old | Fort Worth +10 more
5898,Lauren Information Technologies,4.0,110,IT Services & Consulting | 201-500 Employees | 31 years old | Mumbai +13 more
5899,Jamboree Education,3.8,110,EdTech | 201-500 Employees | 30 years old | Delhi +17 more
5900,Medgenome Labs,3.5,109,Biotechnology | 201-500 Employees | Startup | 10 years old | Bangalore +12 more
5901,Tamilnad Mercantile Bank,2.9,109,Banking | 1k-5k Employees | Fortune India 500 | 102 years old | Chennai +33 more
5902,Cummins Turbo Technologies,4.2,109,10k-50k Employees | Dewas +5 more
5903,Gyansys Infotech,2.9,109,IT Services & Consulting | 201-500 Employees | 18 years old | Carmel +5 more
5904,Neudesic Technologies,4.1,109,IT Services & Consulting | 501-1k Employees | 21 years old | Irvine +4 more
5905,Brinks Arya India,3.9,109,Financial Services | 51-200 Employees | 42 years old | Coppell +28 more
5906,NSL Sugars,4.0,109,Food Processing | 201-500 Employees | 24 years old | Hyderabad +14 more
5907,Rishabh Software,3.9,109,Software Product | 501-1k Employees | 24 years old | Vadodara/Baroda +2 more
5908,Utkal Alumina International,4.3,109,Chemicals | 11-50 Employees | Public | 30 years old | Rayagada +8 more
5909,Maccaferri,4.0,109,Real Estate | 201-500 Employees | 144 years old | Bologna +15 more
5910,Axa Parenterals,3.9,109,Pharma | 201-500 Employees | Public | 18 years old | Roorkee +5 more
5911,Eagle Infra,4.1,109,Engineering & Construction | 1k-5k Employees | 42 years old | Ulhasnagar +21 more
5912,Kolors Healthcare,3.6,109,Healthcare | 51-200 Employees | 19 years old | Hyderabad/Secunderabad +17 more
5913,Xalta Food And Beverages,2.8,109,Beverage | 501-1k Employees (Global) | 8 years old | New Delhi +28 more
5914,China State Construction Engineering Corporation,4.2,109,Engineering & Construction | 51-200 Employees | 41 years old | Beijing +20 more
5915,Essel Infraprojects,3.6,109,Engineering & Construction | 1k-5k Employees | 36 years old | Noida +21 more
5916,Hy Gro Chemicals Pharmtek,3.9,109,Pharma | 51-200 Employees | 53 years old | Secunderabad +5 more
5917,EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.8,109,Fashion & Textile | 501-1k Employees (Global) | 40 years old | Tirupur/Tiruppur +7 more
5918,SP Apparels,4.1,109,Fashion & Textile | 1k-5k Employees | Public | 17 years old | Coimbatore +16 more
5919,Tecnotree Convergence,3.2,109,Telecom | 201-500 Employees | 45 years old | Espoo +1 more
5920,DLF Brands,3.7,109,Retail | 1k-5k Employees | 15 years old | New Delhi +14 more
5921,Analytix Business Solutions,3.8,109,BPO | 501-1k Employees | 17 years old | Woburn +4 more
5922,TVS - SUNDARAM BRAKE LININGS,3.6,109,Auto Components | 1k-5k Employees | Public | 47 years old | Chennai +11 more
5923,Anytime Fitness,3.6,109,Fitness & Wellness | 51-200 Employees | 22 years old | Delhi +20 more
5924,GKN Sinter Metals,4.0,109,Auto Components | 51-200 Employees | 121 years old | Auburn Hills +7 more
5925,Doshion,2.7,109,Waste Management | 1-10 Employees | 45 years old | Ahmedabad +5 more
5926,Takenaka,4.0,109,Architecture & Interior Design | 201-500 Employees | 86 years old | Osaka +13 more
5927,Ludhiana Beverages,4.0,109,Beverage | 51-200 Employees | 29 years old | Ludhiana +5 more
5928,Indutch Composites Technology,3.7,109,Industrial Machinery | 51-200 Employees | 13 years old | Vadodara +8 more
5929,Adlabs Imagica,4.1,109,Events | 201-500 Employees | 13 years old | Mumbai +6 more
5930,The Nuance Group AG,4.4,109,IT Services & Consulting | 1k-5k Employees | 31 years old | Zurich +9 more
5931,Shankaranarayana Constructions,4.0,109,Engineering & Construction | 1k-5k Employees | 17 years old | Bangalore/Bengaluru +8 more
5932,Lanco Anpara Power,4.4,109,Power | 51-200 Employees | 63 years old | Gurgaon +6 more
5933,Brij Gopal Construction Company,3.9,109,Engineering & Construction | 1k-5k Employees | 24 years old | New Delhi +18 more
5934,Lubi Industries Llp,4.1,109,Industrial Machinery | 1k-5k Employees | 58 years old | Ahmedabad +25 more
5935,Putzmeister Concrete Machines,3.9,109,Industrial Machinery | 201-500 Employees | 16 years old | Aichtal +18 more
5936,Citrix R&d India Pvt. Lit,3.9,109,5k-10k Employees (Global) | 34 years old | Fort Lauderdale +3 more
5937,Kpmg Resource Centre,3.9,109,1k-5k Employees | Mumbai +8 more
5938,HP Global e-Business Operations,4.1,109,BPO | 1-10 Employees | Public | 84 years old | Palo Alto +4 more
5939,Weavetex Overseas,4.2,109,Fashion & Textile | 201-500 Employees | 54 years old | Baghpat +7 more
5940,Natural Remedies,3.5,109,Pharma | 501-1k Employees | 72 years old | Bangalore/Bengaluru +10 more
5941,Brinks Arya India,3.9,109,Financial Services | 51-200 Employees | 42 years old | Nashik +28 more
5942,Lubi Industries Llp,4.1,109,Industrial Machinery | 1k-5k Employees | 58 years old | Ahmedabad +25 more
5943,Panda Retail Company,4.5,109,Retail | 1-10 Employees | 45 years old | Jeddah +10 more
5944,China State Construction Engineering Corporation,4.2,109,Engineering & Construction | 51-200 Employees | 41 years old | Dubai +20 more
5945,Adlabs Imagica,4.1,109,Events | 201-500 Employees | 13 years old | Khopoli +6 more
5946,Lanco Anpara Power,4.4,109,Power | 51-200 Employees | 63 years old | Gurgaon/Gurugram +6 more
5947,SEG Automotive,3.7,109,Auto Components | 201-500 Employees | 5 years old | Bengaluru/Bangalore +7 more
5948,Aditya Birla SunLife Asset Management Company,4.2,109,Financial Services | 1k-5k Employees | 29 years old | Nashik +39 more
5949,Shankaranarayana Constructions,4.0,109,Engineering & Construction | 1k-5k Employees | 17 years old | Bengaluru/Bangalore +8 more
5950,Delhi World Public School,3.8,109,Education & Training | 11-50 Employees | 8 years old | Greater Noida +42 more
5951,iNeuron.ai,4.1,109,51-200 Employees | Bengaluru/Bangalore +2 more
5952,Navigators Software,4.1,109,IT Services & Consulting | 51-200 Employees | 24 years old | Kolkata +2 more
5953,Hudson Agile Ventures,3.6,109,IT Services & Consulting | 51-200 Employees | Chennai +7 more
5954,InsuranceDekho,3.5,109,Gurgaon/Gurugram +15 more
5955,Radhika Dahlan Consultancy,4.9,109,Recruitment | 51-200 Employees | 5 years old | Jaipur +2 more
5956,Mandovi Motors,4.2,109,Auto Components | 1k-5k Employees | 39 years old | Bengaluru/Bangalore +4 more
5957,Waste Management,3.9,109,Waste Management | 51-200 Employees | Forbes Global 2000 | 55 years old | Indore +12 more
5958,Pin Click,2.9,109,Real Estate | 51-200 Employees | Startup | 9 years old | Bengaluru/Bangalore +6 more
5959,Maintec Technologies,3.2,109,IT Services & Consulting | 201-500 Employees | 25 years old | Bengaluru/Bangalore +8 more
5960,RS Software,3.7,108,IT Services & Consulting | 201-500 Employees | Public | 32 years old | Kolkata +4 more
5961,Regus,2.9,108,Facility Management Services | 1k-5k Employees | 34 years old | Luxembourg City +21 more
5962,Infinity Data Technologies,2.9,108,IT Services & Consulting | 201-500 Employees | 20 years old | Rockville +7 more
5963,Mitsubishi Power India,4.2,108,Industrial Machinery | 5k-10k Employees | 9 years old | Yokohama +9 more
5964,Tech2Globe,4.2,108,IT Services & Consulting | 201-500 Employees | 9 years old | Delhi/NCR
5965,Apothecon Pharmaceuticals,4.3,108,Pharma | 51-200 Employees | 16 years old | Vadodara/Baroda +1 more
5966,DGS Technical Services,3.1,108,Design | 501-1k Employees | 19 years old | Elgin +10 more
5967,Chrysalis High,3.6,108,Education & Training | 201-500 Employees | 13 years old | Bangalore/Bengaluru +1 more
5968,Adani Transmission,3.9,108,Real Estate | 501-1k Employees | Public | 10 years old | Ahmedabad +31 more
5969,Digital Nirvana Information Systems,4.0,108,Software Product | 201-500 Employees | 27 years old | Fremont +1 more
5970,Colruyt Group,4.3,108,IT Services & Consulting | 501-1k Employees | Forbes Global 2000 | 16 years old | Hale
5971,Embitel Technologies,4.2,108,IT Services & Consulting | 201-500 Employees | 17 years old | Bangalore +2 more
5972,CPC Diagnostics,3.5,108,Medical Equipment | 201-500 Employees | 36 years old | Chennai +20 more
5973,Singer India,4.1,108,Consumer Electronics & Appliances | 201-500 Employees | Public | 46 years old | Delhi/NCR +21 more
5974,Back Office,4.0,108,BPO | 51-200 Employees | 19 years old | Dubai +32 more
5975,SEW Eurodrive india,4.3,108,Auto Components | 201-500 Employees | 26 years old | Vadodara/Baroda +16 more
5976,Pramata Knowledge Solutions,3.0,108,IT Services & Consulting | 201-500 Employees | 18 years old | Brisbane +1 more
5977,GD Goenka University,3.5,108,Education & Training | 201-500 Employees (Global) | 10 years old | Gurgaon/Gurugram +13 more
5978,Kitex Garments,3.4,108,Fashion & Textile | 1k-5k Employees | Public | 31 years old | Kochi/Cochin +7 more
5979,Kaefer,4.3,108,Engineering & Construction | 51-200 Employees | 105 years old | Bremen +12 more
5980,Jamia Hamdard University,3.9,108,Education & Training | 501-1k Employees | Public | 34 years old | New Delhi +1 more
5981,DGS Technical Services,3.1,108,Design | 501-1k Employees | 19 years old | Elgin +10 more
5982,Pramata Knowledge Solutions,3.0,108,IT Services & Consulting | 201-500 Employees | 18 years old | Brisbane +1 more
5983,GD Goenka University,3.5,108,Education & Training | 201-500 Employees (Global) | 10 years old | Gurgaon/Gurugram +13 more
5984,Kitex Garments,3.4,108,Fashion & Textile | 1k-5k Employees | Public | 31 years old | Kochi/Cochin +7 more
5985,Back Office,4.0,108,BPO | 51-200 Employees | 19 years old | Dubai +32 more
5986,Jamia Hamdard University,3.9,108,Education & Training | 501-1k Employees | Public | 34 years old | New Delhi +1 more
5987,Kinapse,4.1,108,Pharma | 51-200 Employees | 18 years old | Farnborough +3 more
5988,Mitsubishi Power India,4.2,108,Industrial Machinery | 5k-10k Employees | 9 years old | Yokohama +9 more
5989,Kaefer,4.3,108,Engineering & Construction | 51-200 Employees | 105 years old | Bremen +12 more
5990,iSource,3.5,108,Recruitment | 201-500 Employees | 20 years old | Noida +10 more
5991,Zerodha,4.0,108,FinTech | 1k-5k Employees | Public | 13 years old | Bangalore +18 more
5992,AIDA Cruises,4.5,108,Travel & Tourism | 201-500 Employees | 27 years old | Rostock +7 more
5993,Kaff Appliances (india),2.8,108,Consumer Electronics & Appliances | 51-200 Employees | 16 years old | Gurgaon +25 more
5994,iLabz Technology,2.9,108,Recruitment | 51-200 Employees | 9 years old | Bangalore/Bengaluru +12 more
5995,Action Tesa,3.7,108,501-1k Employees | 53 years old | New Delhi +15 more
5996,SEW Eurodrive india,4.3,108,Auto Components | 201-500 Employees | 26 years old | Vadodara/Baroda +16 more
5997,Sangam India,3.7,108,Fashion & Textile | 1k-5k Employees | Public | 39 years old | Bhilwara +8 more
5998,Intercontinental Exchange,3.5,108,FinTech | 1k-5k Employees | Forbes Global 2000 | 23 years old | Atlanta +1 more
5999,RS Software,3.7,108,IT Services & Consulting | 201-500 Employees | Public | 32 years old | Milpitas +4 more
6000,Soch Apparels,4.1,108,Fashion & Textile | 501-1k Employees | 18 years old | Bengaluru +21 more
6001,Solulab inc,4.1,108,IT Services & Consulting | 51-200 Employees | 9 years old | Ahmedabad +2 more
6002,Makino Auto Industries,4.3,108,Automobile | 501-1k Employees | 33 years old | Noida +6 more
6003,Go Fashion,4.0,108,Fashion & Textile | 51-200 Employees | Chennai +29 more
6004,Khandelwal Laboratories,3.9,108,Pharma | 1k-5k Employees | 78 years old | Mumbai +11 more
6005,Burman Hospitality,4.1,108,Hospitality | 201-500 Employees | 9 years old | Delhi/NCR +14 more
6006,SIAC SKH India Cabs Manufacturing,4.0,108,Industrial Machinery | 1-10 Employees | 13 years old | Palwal +6 more
6007,Illusion Dental Laboratory,4.0,108,Medical Equipment | 11-50 Employees | 19 years old | Mumbai +21 more
6008,Ind Innovations,3.4,108,IT Services & Consulting | 11-50 Employees | 9 years old | Delhi/NCR +24 more
6009,Sendan International Co,3.9,108,Engineering & Construction | 1k-5k Employees | 29 years old | Al Jubail +7 more
6010,Wheels Emi,3.7,108,NBFC | 201-500 Employees | 6 years old | Pune +28 more
6011,Venus Home Appliances,4.1,108,Consumer Electronics & Appliances | 501-1k Employees | 59 years old | Thoothukudi +21 more
6012,Veeraraghavan & Company,2.9,108,Accounting & Auditing | 201-500 Employees (Global) | 34 years old | Andheri +16 more
6013,Media.net Software Services (India),4.1,108,Internet | 1k-5k Employees | 13 years old | Dubai +4 more
6014,Qdigi Services,3.7,108,Recruitment | 51-200 Employees | Noida +31 more
6015,Bewakoof,3.8,108,Fashion & Textile | 201-500 Employees | 12 years old | Mumbai +7 more
