,name,rating,number of review,about
117,Manappuram Finance,3.9,3.2k,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +448 more
118,Atos Syntel,3.6,3.2k,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +16 more
119,SBI Cards & Payment Services,3.7,3.1k,Financial Services | 1k-5k Employees | 25 years old | Gurgaon/Gurugram +300 more
120,Intelenet Global Services,3.7,3.1k,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more
121,Cummins,4.4,3.1k,Auto Components | 10k-50k Employees | Fortune India 500 | 61 years old | Columbus +93 more
122,Future Group,4.2,3.1k,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +197 more
123,BNY Mellon,4.1,3.1k,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 19 years old | New York City +12 more
124,Bosch Global Software Technologies,4.2,3.1k,Software Product | 10k-50k Employees | 33 years old | Gerlingen +24 more
125,SMFG India Credit,4.1,3.1k,NBFC | 10k-50k Employees | 16 years old | Mumbai +452 more
126,Coforge,3.6,3.1k,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +78 more
127,IQVIA,4.1,3k,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +38 more
128,Amdocs,4.0,3k,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +13 more
129,Nagarro,4.3,3k,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +33 more
130,UST,3.9,3k,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +32 more
131,ICICI Lombard General Insurance Company,3.8,3k,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +230 more
132,Virtusa Consulting Services,3.8,3k,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +26 more
133,GlobalLogic,3.8,3k,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +25 more
134,Schneider Electric,4.1,3k,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +97 more
135,Samsung,4.1,3k,5k-10k Employees | Public | 85 years old | Seoul +394 more
136,CBRE,4.2,3k,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +61 more
137,JBM Group,4.0,2.9k,Auto Components | 10k-50k Employees | Public | 40 years old | Gurgaon/Gurugram +76 more
138,Dell,4.2,2.9k,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +82 more
139,Ecom Express,4.1,2.9k,Logistics | 10k-50k Employees | 11 years old | Gurgaon +565 more
140,State Bank of India,3.8,2.9k,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +426 more
141,Cholamandalam Investment & Finance,4.1,2.9k,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +553 more
142,Swiggy,4.0,2.8k,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +156 more
143,Bajaj Auto,3.9,2.8k,Automobile | 5k-10k Employees | Public | 78 years old | Pune +219 more
